title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,COMMON-EXPANDED,dataDictionary,accessURL,webService,format,license,spatial,temporal,EXPANDED,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,size,landingPage,feed,systemOfRecords
Immunization Rates indicator details,Immunization Rates indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-immunization_rates_fy12,Public,,http://data.mcc.gov/selection/fy12/immunization_rates_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Inflation indicator details,Inflation indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-inflation_fy12,Public,,http://data.mcc.gov/selection/fy12/inflation_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Land Rights And Access indicator details,Land Rights And Access indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-land_rights_and_access_fy12,Public,,http://data.mcc.gov/selection/fy12/land_rights_and_access_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Natural Resource Protection indicator details,Natural Resource Protection indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-natural_resource_protection_fy12,Public,,http://data.mcc.gov/selection/fy12/natural_resource_protection_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Political Rights indicator details,Political Rights indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-political_rights_fy12,Public,,http://data.mcc.gov/selection/fy12/political_rights_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Regulatory Quality indicator details,Regulatory Quality indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-regulatory_quality_fy12,Public,,http://data.mcc.gov/selection/fy12/regulatory_quality_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Rule Of Law indicator details,Rule Of Law indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-rule_of_law_fy12,Public,,http://data.mcc.gov/selection/fy12/rule_of_law_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Trade Policy indicator details,Trade Policy indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-trade_policy_fy12,Public,,http://data.mcc.gov/selection/fy12/trade_policy_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
LIC Countries Indicators Summary FY12,LIC Countries Indicators Summary FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-lic_indicators_fy12,Public,,http://data.mcc.gov/selection/fy12/lic_indicators_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
LMIC Countries Indicators Summary FY12,LMIC Countries Indicators Summary FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-lmic_indicators_fy12,Public,,http://data.mcc.gov/selection/fy12/lmic_indicators_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Financials FY13 Q1,Financials FY13 Q1,"finances, obligations, disbursements, international development",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,finance-finance_fy13_q1,Public,,http://data.mcc.gov/finance/finance_fy13_q1.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Financial Data,,,http://data.mcc.gov,,MIDAS
